,deg,slope,intercept,median
0,0,-285.7142857142863,192.85714285714315,9.175558322913377e-06
1,1,-285.7142857142863,192.85714285714315,1.1473207815799007e-05
2,2,-73.17293233082707,86.58646616541351,0.3387387804959937
3,3,-44.66165413533837,72.33082706766916,0.4050087931693639
4,4,108.33082706766918,-4.165413533834574,0.7313097404613518
5,5,128.0,-13.999999999999982,0.775274202764781
6,6,130.85714285714286,-15.428571428571413,0.7783381175227522
7,7,117.89473684210525,-8.94736842105261,0.7648415923594372
8,8,121.02255639097743,-10.511278195488694,0.7529784666886534
9,9,116.72180451127818,-8.36090225563907,0.756773882500417
10,10,131.12781954887217,-15.563909774436073,0.7816457897503715
11,11,128.21052631578945,-14.105263157894733,0.7789051408106304
12,12,138.34586466165413,-19.17293233082704,0.7941374658477609
13,13,137.7443609022556,-18.872180451127807,0.8037885588858713
14,14,138.73684210526315,-19.368421052631554,0.7921136838928513
