,deg,slope,intercept,median
0,0,-277.62406015037635,188.8120300751882,0.005625214006068196
1,1,66.85714285714286,16.571428571428573,0.6350167741400206
2,2,67.60902255639097,16.195488721804516,0.6375220496001127
3,3,50.43609022556389,24.781954887218053,0.6034264598462343
4,4,78.94736842105264,10.526315789473685,0.6749743677019033
5,5,83.09774436090225,8.451127819548876,0.6708131343814532
6,6,95.93984962406014,2.0300751879699206,0.6978674693348239
7,7,120.72180451127818,-10.360902255639095,0.7551694741061565
8,8,118.97744360902252,-9.488721804511261,0.7515054397050469
9,9,121.77443609022554,-10.887218045112764,0.7723761391382655
10,10,124.24060150375938,-12.12030075187968,0.7678285335254129
11,11,124.21052631578947,-12.105263157894726,0.7678803669201901
12,12,144.0,-21.999999999999986,0.8089601232023544
13,13,152.8721804511278,-26.43609022556388,0.8299623500490415
14,14,153.02255639097746,-26.511278195488682,0.8355726989201812
