,deg,slope,intercept,median
0,0,50.676691729323295,24.661654135338363,0.6053359368912048
1,1,147.96992481203006,-23.984962406015015,0.8200747058027691
2,2,143.15789473684208,-21.57894736842102,0.7936020694628594
3,3,147.72932330827066,-23.86466165413531,0.8219741293176823
4,4,142.5563909774436,-21.278195488721785,0.8032090979357092
5,5,145.92481203007515,-22.962406015037576,0.8001250336904766
6,6,153.77443609022555,-26.88721804511275,0.8383967678137311
7,7,160.75187969924815,-30.37593984962405,0.8404273395313839
8,8,159.21804511278197,-29.60902255639096,0.8418100898714327
9,9,164.36090225563908,-32.180451127819516,0.8488079283690173
10,10,156.7518796992481,-28.375939849624018,0.8375072290021219
11,11,157.593984962406,-28.796992481202967,0.83897411509036
12,12,156.54135338345864,-28.270676691729303,0.8291096354260596
13,13,154.85714285714286,-27.428571428571402,0.8402037491636305
14,14,159.75939849624058,-29.87969924812027,0.8495519390754886
