,deg,slope,intercept,median
0,0,-285.7142857,192.8571429,7.86E-05
1,1,-285.7142857,192.8571429,9.14E-05
2,2,62.01503759,18.9924812,0.637792139
3,3,68.72180451,15.63909774,0.651826317
4,4,103.037594,-1.518796992,0.722819209
5,5,94.16541353,2.917293233,0.705841577
6,6,92.84210526,3.578947368,0.685521245
7,7,96.78195489,1.609022556,0.711431943
8,8,100.7819549,-0.390977444,0.713860719
9,9,108.6917293,-4.345864662,0.736498999
10,10,115.6992481,-7.84962406,0.742830696
11,11,133.2030075,-16.60150376,0.785331266
12,12,128.6616541,-14.33082707,0.775851777
13,13,130.6165414,-15.30827068,0.778893442
14,14,137.9849624,-18.9924812,0.796615005
