,deg,slope,intercept,median
0,0,-285.7142857142863,192.85714285714315,3.638097436602196e-10
1,1,-285.7142857142863,192.85714285714315,2.812138834105628e-08
2,2,-186.94736842105272,143.4736842105263,0.1432432294260724
3,3,-177.53383458646618,138.7669172932331,0.1582977640590745
4,4,91.78947368421052,4.105263157894744,0.6857369880844727
5,5,103.39849624060152,-1.6992481203007477,0.7239993986874202
6,6,99.18796992481202,0.4060150375939954,0.7074479933727725
7,7,96.06015037593984,1.96992481203009,0.7111188348432065
8,8,105.11278195488723,-2.5563909774435882,0.718084419262419
9,9,117.80451127819549,-8.902255639097726,0.7479804895655082
10,10,125.92481203007516,-12.96240601503758,0.7685586589661102
11,11,135.1578947368421,-17.57894736842104,0.791303238035185
12,12,129.4436090225564,-14.72180451127819,0.7749562217316256
13,13,119.24812030075186,-9.624060150375923,0.7605027720689104
14,14,129.77443609022552,-14.887218045112759,0.7787180140344854
