,deg,slope,intercept,median
0,0,-285.7142857142863,192.85714285714315,6.708411415603984e-08
1,1,-285.7142857142863,192.85714285714315,2.817392575827588e-06
2,2,-94.37593984962406,97.18796992481201,0.2961715935185699
3,3,-93.02255639097748,96.51127819548873,0.3132452364016638
4,4,112.99248120300751,-6.496240601503745,0.7495981049811629
5,5,110.13533834586465,-5.067669172932316,0.7352910046560855
6,6,106.97744360902256,-3.488721804511267,0.7181927840096811
7,7,104.4812030075188,-2.240601503759381,0.7242080909614024
8,8,113.89473684210526,-6.947368421052613,0.7460324563846101
9,9,129.68421052631578,-14.842105263157869,0.7749335872566445
10,10,128.96240601503757,-14.481203007518781,0.7659383815730654
11,11,125.08270676691725,-12.541353383458627,0.7731023007704717
12,12,124.96240601503759,-12.481203007518799,0.772266365964681
13,13,127.27819548872178,-13.639097744360887,0.7779355609840679
14,14,129.56390977443607,-14.781954887218031,0.7883500041034239
