,deg,slope,intercept,median
0,0,-211.06766917293254,155.53383458646624,0.08583787272687543
1,1,-11.969924812030062,55.98496240601503,0.47114189889346936
2,2,82.19548872180451,8.902255639097751,0.6817295805820778
3,3,81.83458646616542,9.082706766917306,0.6665695867581525
4,4,70.5563909774436,14.721804511278203,0.6415674720693165
5,5,74.04511278195488,12.977443609022572,0.6738256347435236
6,6,99.57894736842107,0.21052631578948972,0.7134423486576417
7,7,108.0,-3.999999999999997,0.7271048546574539
8,8,113.92481203007517,-6.962406015037573,0.7479525664665356
9,9,108.87218045112782,-4.4360902255639,0.7391923851745623
10,10,121.50375939849621,-10.751879699248107,0.7601332714616804
11,11,129.92481203007517,-14.962406015037581,0.7760413140782079
12,12,124.51127819548869,-12.255639097744336,0.7665075418745353
13,13,130.49624060150373,-15.248120300751854,0.7867473874578653
14,14,131.90977443609017,-15.954887218045092,0.7806006813030324
